iter	Passed	Remaining
468	742	840
469	743	837
470	744	835
471	745	833
472	748	833
473	751	834
474	755	834
475	758	834
476	759	832
477	760	830
478	761	828
479	762	826
480	763	824
481	764	821
482	766	819
483	767	817
484	768	815
485	769	813
486	770	811
487	771	809
488	772	807
489	773	805
490	775	803
491	776	801
492	776	799
493	778	797
494	779	795
495	780	793
496	782	791
497	783	789
498	784	787
499	785	785
500	786	783
501	787	781
502	788	779
503	790	777
504	793	777
505	796	777
506	800	778
507	802	777
508	803	775
509	804	773
510	806	771
511	807	769
512	808	767
513	810	766
514	811	764
515	813	762
516	814	761
517	816	759
518	818	758
519	819	756
520	823	757
521	827	757
522	831	758
523	832	756
524	833	754
525	834	752
526	836	750
527	838	749
528	839	747
529	840	745
530	842	743
531	843	742
532	845	740
533	847	739
534	849	737
535	850	736
536	852	734
537	853	732
538	855	731
539	856	729
540	857	727
541	859	726
542	862	726
543	866	726
544	870	726
545	872	725
546	873	723
547	874	721
548	875	719
549	876	717
550	877	715
551	879	713
552	881	712
553	882	710
554	884	708
555	885	707
556	886	705
557	888	703
558	889	701
559	890	699
560	892	698
561	894	696
562	895	695
563	897	693
564	898	691
565	899	689
566	900	687
567	901	685
568	903	684
569	904	682
570	917	689
571	918	687
572	919	685
573	920	682
574	921	680
575	922	679
576	923	677
577	925	675
578	926	673
579	927	671
580	928	669
581	930	668
582	931	666
583	932	664
584	933	662
585	934	660
586	936	658
587	937	656
588	938	655
589	940	653
590	941	651
591	943	650
592	944	648
593	945	646
594	947	644
595	948	643
596	961	648
597	962	647
598	964	645
599	965	643
600	966	641
601	968	640
602	969	638
603	971	636
604	972	634
605	974	633
606	975	631
607	977	629
608	980	629
609	983	629
610	987	628
611	989	627
612	990	625
613	991	623
614	992	621
615	993	619
616	994	617
617	995	615
618	997	613
619	998	611
620	999	609
621	1000	608
622	1001	606
623	1002	604
624	1004	602
625	1005	600
626	1006	598
627	1008	597
628	1009	595
629	1010	593
630	1012	591
631	1013	589
632	1014	588
633	1015	586
634	1016	584
635	1017	582
636	1019	580
637	1020	578
638	1024	578
639	1027	577
640	1083	606
641	1110	619
642	1111	617
643	1113	615
644	1114	613
645	1115	611
646	1117	609
647	1119	608
648	1123	607
649	1125	605
650	1126	604
651	1128	602
652	1129	600
653	1131	598
654	1132	596
655	1133	594
656	1134	592
657	1135	590
658	1143	591
659	1150	592
660	1152	591
661	1153	589
662	1155	587
663	1156	585
664	1157	583
665	1158	581
666	1159	579
667	1161	577
668	1162	574
669	1163	572
670	1165	571
671	1168	570
672	1170	568
673	1172	567
674	1173	565
675	1175	563
676	1176	561
677	1177	559
678	1178	557
679	1179	555
680	1180	553
681	1182	551
682	1183	549
683	1184	547
684	1185	545
685	1186	543
686	1188	541
687	1189	539
688	1190	537
689	1191	535
690	1192	533
691	1196	532
692	1198	531
693	1200	529
694	1201	527
695	1202	525
696	1203	523
697	1204	521
698	1205	518
699	1206	516
700	1207	514
701	1208	512
702	1209	511
703	1210	509
704	1212	507
705	1213	505
706	1214	503
707	1215	501
708	1216	499
709	1218	497
710	1219	495
711	1220	493
712	1221	491
713	1223	489
714	1224	488
715	1225	486
716	1226	484
717	1227	482
718	1229	480
719	1230	478
720	1231	476
721	1232	474
722	1233	472
723	1234	470
724	1236	468
725	1237	467
726	1239	465
727	1241	463
728	1243	462
729	1245	460
730	1246	458
731	1247	456
732	1248	454
733	1249	452
734	1251	451
735	1252	449
736	1253	447
737	1254	445
738	1256	443
739	1257	441
740	1258	439
741	1259	438
742	1261	436
743	1262	434
744	1263	432
745	1265	430
746	1266	429
747	1268	427
748	1269	425
749	1270	423
750	1271	421
751	1273	419
752	1274	418
753	1275	416
754	1277	414
755	1279	413
756	1282	411
757	1284	410
758	1288	408
759	1290	407
760	1291	405
761	1292	403
762	1293	401
763	1294	399
764	1295	398
765	1297	396
766	1298	394
767	1300	392
768	1301	390
769	1302	389
770	1304	387
771	1305	385
772	1306	383
773	1308	381
774	1309	380
775	1310	378
776	1312	376
777	1313	374
778	1315	373
779	1316	371
780	1317	369
781	1318	367
782	1320	365
783	1322	364
784	1325	362
785	1327	361
786	1328	359
787	1330	357
788	1331	356
789	1333	354
790	1334	352
791	1336	350
792	1337	349
793	1338	347
794	1340	345
795	1341	343
796	1342	341
797	1343	340
798	1345	338
799	1346	336
800	1347	334
801	1348	333
802	1352	331
803	1355	330
804	1359	329
805	1361	327
806	1363	326
807	1364	324
808	1366	322
809	1367	320
810	1368	319
811	1370	317
812	1371	315
813	1373	313
814	1374	312
815	1376	310
816	1377	308
817	1378	306
818	1380	305
819	1382	303
820	1384	301
821	1385	300
822	1387	298
823	1388	296
824	1390	294
825	1391	293
826	1393	291
827	1394	289
828	1397	288
829	1401	287
830	1404	285
831	1406	283
832	1407	282
833	1409	280
834	1410	278
835	1411	276
836	1412	275
837	1414	273
838	1415	271
839	1416	269
840	1417	268
841	1418	266
842	1420	264
843	1421	262
844	1422	260
845	1423	259
846	1424	257
847	1425	255
848	1426	253
849	1428	252
850	1429	250
851	1430	248
852	1431	246
853	1433	245
854	1434	243
855	1435	241
856	1436	239
857	1437	237
858	1438	236
859	1441	234
860	1444	233
861	1446	231
862	1449	230
863	1451	228
864	1452	226
865	1453	224
866	1454	223
867	1455	221
868	1457	219
869	1458	217
870	1459	216
871	1461	214
872	1462	212
873	1464	211
874	1466	209
875	1467	207
876	1468	205
877	1469	204
878	1471	202
879	1472	200
880	1474	199
881	1475	197
882	1476	195
883	1477	193
884	1479	192
885	1480	190
886	1481	188
887	1482	187
888	1488	185
889	1493	184
890	1495	182
891	1496	181
892	1498	179
893	1499	177
894	1500	176
895	1501	174
896	1503	172
897	1504	170
898	1506	169
899	1507	167
900	1508	165
901	1509	163
902	1510	162
903	1512	160
904	1514	158
905	1515	157
906	1518	155
907	1519	153
908	1521	152
909	1522	150
910	1523	148
911	1524	147
912	1525	145
913	1526	143
914	1527	141
915	1529	140
916	1530	138
917	1531	136
918	1532	135
919	1533	133
920	1534	131
921	1535	129
922	1536	128
923	1537	126
924	1539	124
925	1540	123
926	1541	121
927	1543	119
928	1544	118
929	1545	116
930	1547	114
931	1548	112
932	1549	111
933	1550	109
934	1551	107
935	1552	106
936	1553	104
937	1554	102
938	1556	101
939	1558	99
940	1559	97
941	1561	96
942	1562	94
943	1563	92
944	1565	91
945	1566	89
946	1567	87
947	1568	86
948	1569	84
949	1570	82
950	1571	80
951	1572	79
952	1573	77
953	1574	75
954	1576	74
955	1577	72
956	1578	70
957	1579	69
958	1580	67
959	1581	65
960	1582	64
961	1583	62
962	1584	60
963	1586	59
964	1587	57
965	1588	55
966	1589	54
967	1591	52
968	1592	50
969	1594	49
970	1595	47
971	1596	45
972	1597	44
973	1599	42
974	1601	41
975	1602	39
976	1604	37
977	1606	36
978	1607	34
979	1609	32
980	1610	31
981	1611	29
982	1613	27
983	1614	26
984	1615	24
985	1616	22
986	1618	21
987	1619	19
988	1620	18
989	1621	16
990	1622	14
991	1624	13
992	1625	11
993	1626	9
994	1628	8
995	1629	6
996	1630	4
997	1631	3
998	1632	1
999	1633	0
