iter	RMSE
183	6.06638792
184	6.046382262
185	6.036744449
186	6.027619736
187	6.002373271
188	5.979688359
189	5.97269595
190	5.950076681
191	5.928020764
192	5.922461468
193	5.914539239
194	5.904490951
195	5.878841831
196	5.858552699
197	5.836979809
198	5.81774099
199	5.807428802
200	5.782298709
201	5.76286041
202	5.754768459
203	5.750078697
204	5.740049724
205	5.731630167
206	5.726176489
207	5.713808204
208	5.709163751
209	5.683156903
210	5.674973383
211	5.647057477
212	5.631990557
213	5.62584977
214	5.603540407
215	5.593391442
216	5.586346695
217	5.564693772
218	5.558677419
219	5.542487894
220	5.538221379
221	5.52022075
222	5.504927912
223	5.498613442
224	5.492848046
225	5.482164906
226	5.476388847
227	5.455710439
228	5.437670052
229	5.423718274
230	5.418544288
231	5.399240665
232	5.380038424
233	5.376230538
234	5.372166482
235	5.366972808
236	5.352035694
237	5.336010538
238	5.330590394
239	5.312617417
240	5.306519135
241	5.296098022
242	5.280400887
243	5.275868547
244	5.266728956
245	5.260355946
246	5.241118066
247	5.236128684
248	5.217703802
249	5.214592147
250	5.202729858
251	5.199085255
252	5.196114651
253	5.188043308
254	5.172540891
255	5.169186835
256	5.150269729
257	5.139164328
258	5.136196522
259	5.132105581
260	5.127587393
261	5.118045993
262	5.115144115
263	5.111251104
264	5.098679898
265	5.094861777
266	5.081475847
267	5.064599827
268	5.060619464
269	5.048005823
270	5.03427316
271	5.031585164
272	5.027884801
273	5.024263987
274	5.020720704
275	5.018302071
276	5.016029244
277	5.003665912
278	4.992980258
279	4.990575188
280	4.988369879
281	4.969090611
282	4.966316596
283	4.949562349
284	4.947285383
285	4.943945075
286	4.932938208
287	4.921082391
288	4.911051644
289	4.908457383
290	4.895412302
291	4.878578398
292	4.863421718
293	4.847281872
294	4.835495546
295	4.82516821
296	4.809274526
297	4.796407475
298	4.794272238
299	4.792396061
300	4.789149855
301	4.771943899
302	4.768816613
303	4.757028414
304	4.740966338
305	4.732173684
306	4.72612769
307	4.715547274
308	4.712407028
309	4.698047794
310	4.696111349
311	4.694330131
312	4.684542945
313	4.682774352
314	4.670878462
315	4.667566549
316	4.653071859
317	4.643779645
318	4.632208351
319	4.614825542
320	4.610712733
321	4.600782549
322	4.597803708
323	4.588776027
324	4.57474404
325	4.564291115
326	4.561108711
327	4.547811236
328	4.539295242
329	4.523687285
330	4.515292125
331	4.503296839
332	4.501561024
333	4.498619602
334	4.484628861
335	4.470132803
336	4.467240422
337	4.462208737
338	4.452535182
339	4.440503942
340	4.433838151
341	4.431156917
342	4.427210897
343	4.424519972
344	4.411137477
345	4.408390156
346	4.403380482
347	4.394173051
348	4.385147249
349	4.382451585
350	4.373515188
351	4.360831232
352	4.346285916
353	4.333362402
354	4.322160808
355	4.318205142
356	4.30775991
357	4.298004313
358	4.295471098
359	4.284842193
360	4.274673178
361	4.268621113
362	4.260164215
363	4.249580535
364	4.239936897
365	4.231482713
366	4.228203369
367	4.21892775
368	4.208836287
369	4.200449564
370	4.192077537
371	4.184068339
372	4.179389237
373	4.169471792
374	4.166968317
375	4.164505226
376	4.160487772
377	4.148048137
378	4.143279528
379	4.136345088
380	4.131750415
381	4.124568702
382	4.11946323
383	4.117085338
384	4.110192562
385	4.103798154
386	4.100537283
387	4.094217166
388	4.086915511
389	4.080937013
390	4.074150199
391	4.071799235
392	4.069386771
393	4.062456484
394	4.051699355
395	4.049524841
396	4.043335607
397	4.03679826
398	4.02556501
399	4.0161605
400	4.008750887
401	4.000601417
402	3.991838002
403	3.9885097
404	3.982234808
405	3.977486613
406	3.971128597
407	3.962999132
408	3.955888318
409	3.954665789
410	3.953559462
411	3.945764896
412	3.938912262
413	3.933051917
414	3.931965742
415	3.929885741
416	3.927489439
417	3.92458641
418	3.918276125
419	3.91021005
420	3.905612901
421	3.903509746
422	3.89821371
423	3.891166714
424	3.884728983
425	3.88195077
426	3.875822948
427	3.867027103
428	3.857331339
429	3.855065059
430	3.848722241
431	3.846632122
432	3.844569118
433	3.838441268
434	3.836411335
435	3.829180861
436	3.825716742
437	3.823529142
438	3.817506281
439	3.809190032
440	3.802665473
441	3.800742858
442	3.798478062
443	3.790885488
444	3.783647731
445	3.77867232
446	3.772675678
447	3.76892064
448	3.767009502
449	3.759686774
450	3.75458
451	3.746795339
452	3.742588165
453	3.736671208
454	3.734553613
455	3.729282024
456	3.724037764
457	3.72134834
458	3.71946387
459	3.711771578
460	3.709690298
461	3.707847397
462	3.705475834
463	3.702554702
464	3.697516445
465	3.695459047
466	3.689690641
467	3.687955166
468	3.681816984
469	3.6792338
470	3.671484415
471	3.662579178
472	3.660617999
473	3.655131574
474	3.653322502
475	3.651542314
476	3.649773156
477	3.648005305
478	3.643784322
479	3.635288823
480	3.633739091
481	3.63223454
482	3.630313421
483	3.629304616
484	3.62329309
485	3.61503354
486	3.612330157
487	3.606458162
488	3.602619034
489	3.601086283
490	3.598433563
491	3.592595608
492	3.591199371
493	3.585707442
494	3.58260267
495	3.575466725
496	3.569907192
497	3.563739424
498	3.558373209
499	3.553001801
500	3.551367835
501	3.549928493
502	3.547264783
503	3.543901066
504	3.54247791
505	3.541192469
506	3.536675648
507	3.533930981
508	3.532182152
509	3.527738254
510	3.526258718
511	3.522242423
512	3.52096832
513	3.511718193
514	3.510289726
515	3.507126524
516	3.499310434
517	3.497701955
518	3.490458752
519	3.488753244
520	3.487583834
521	3.482917292
522	3.480315663
523	3.477175596
524	3.475817609
525	3.470423529
526	3.465452634
527	3.460857835
528	3.459465908
529	3.455228368
530	3.453606544
531	3.446602476
532	3.438420986
533	3.437279783
534	3.434064696
535	3.428572566
536	3.427211279
537	3.424084696
538	3.422949688
539	3.42128897
540	3.419972006
541	3.415686036
542	3.411747645
543	3.406262016
544	3.405304703
545	3.404004535
546	3.399137901
547	3.395033456
548	3.391757696
549	3.385658785
550	3.384108568
551	3.381015037
552	3.379503987
553	3.378575168
554	3.37670492
555	3.375600785
556	3.369182547
557	3.362712157
558	3.361071138
559	3.357144637
560	3.353418275
561	3.34719723
562	3.344407202
563	3.341049412
564	3.340035301
565	3.333952986
566	3.330121837
567	3.324565217
568	3.321665688
569	3.320827236
570	3.319868864
571	3.317131317
572	3.315990123
573	3.309916498
574	3.307131558
575	3.305640718
576	3.301100724
577	3.296440933
578	3.294010873
579	3.293204518
580	3.28913065
581	3.287594652
582	3.282145407
583	3.278718676
584	3.27310212
585	3.267335653
586	3.261654657
587	3.260882852
588	3.257384418
589	3.252501502
590	3.247445215
591	3.246348581
592	3.245582902
593	3.242213118
594	3.236870656
595	3.233928934
596	3.229130049
597	3.226302346
598	3.225611032
599	3.223677799
600	3.222944397
601	3.218393268
602	3.214934227
603	3.212381116
604	3.206046531
605	3.204493587
606	3.202072942
607	3.199717942
608	3.196041945
609	3.192170277
610	3.191451248
611	3.190416248
612	3.187864976
613	3.185458542
614	3.182671033
615	3.177859299
616	3.17607408
617	3.174417698
618	3.172997536
619	3.169920705
620	3.165231712
621	3.163730152
622	3.163033461
623	3.155798
624	3.155113239
625	3.154046879
626	3.149851687
627	3.148236692
628	3.144583559
629	3.141917847
630	3.13716162
631	3.136744087
632	3.135286757
633	3.133172291
634	3.131836451
635	3.126646346
636	3.125223186
637	3.122559913
638	3.116665401
639	3.113367116
640	3.110325338
641	3.104403123
642	3.097871319
643	3.095619373
644	3.093470182
645	3.087524248
646	3.086176596
647	3.083254594
648	3.081355973
649	3.078944418
650	3.072411572
651	3.068584291
652	3.066878661
653	3.066166669
654	3.065769925
655	3.062241962
656	3.06094118
657	3.058828031
658	3.057358366
659	3.05412838
660	3.050141653
661	3.049756693
662	3.046745147
663	3.045421382
664	3.044134166
665	3.043381251
666	3.040790408
667	3.038999438
668	3.036927201
669	3.034689459
670	3.034317401
671	3.030570514
672	3.026693809
673	3.02335899
674	3.017146617
675	3.014885345
676	3.011687553
677	3.01035172
678	3.009648046
679	3.008348627
680	3.00799832
681	3.002320988
682	2.999381087
683	2.99853336
684	2.99702657
685	2.993053741
686	2.990632428
687	2.989389692
688	2.988178254
689	2.984467054
690	2.983045862
691	2.979772526
692	2.979030147
693	2.978735169
694	2.97758967
695	2.974842604
696	2.974275459
697	2.970784292
698	2.968973629
699	2.966021854
700	2.965698168
701	2.965381463
702	2.962565023
703	2.95938278
704	2.957704089
705	2.956996995
706	2.951610418
707	2.951340808
708	2.950165168
709	2.944595465
710	2.941152989
711	2.938158244
712	2.93617445
713	2.935148117
714	2.933929792
715	2.930670424
716	2.930017187
717	2.927845492
718	2.924453348
719	2.923866565
720	2.921900298
721	2.918235194
722	2.914960425
723	2.912256854
724	2.910169386
725	2.90707569
726	2.905515849
727	2.902235477
728	2.901144079
729	2.898731587
730	2.895802793
731	2.892919684
732	2.890679962
733	2.889561219
734	2.88748196
735	2.886915142
736	2.886309344
737	2.883347726
738	2.878078907
739	2.876078304
740	2.875767549
741	2.871821159
742	2.871121662
743	2.869162603
744	2.866731583
745	2.864891087
746	2.863874454
747	2.861949006
748	2.860922586
749	2.859948331
750	2.857650652
751	2.856199714
752	2.855508291
753	2.853588424
754	2.851719917
755	2.850642777
756	2.845354308
757	2.843271255
758	2.840217098
759	2.834905078
760	2.83153695
761	2.828068315
762	2.826389172
763	2.824772559
764	2.823551448
765	2.820744412
766	2.818794715
767	2.81810438
768	2.816378429
769	2.811615373
770	2.809542019
771	2.80478199
772	2.804484982
773	2.802211303
774	2.8008017
775	2.797381135
776	2.796853345
777	2.79440643
778	2.791672277
779	2.78815381
780	2.787647952
781	2.78314554
782	2.781877677
783	2.779906276
784	2.776843119
785	2.773219313
786	2.770987095
787	2.769015709
788	2.766414274
789	2.764132398
790	2.763138626
791	2.761456699
792	2.758331144
793	2.755447144
794	2.755058237
795	2.753922903
796	2.750952462
797	2.747477025
798	2.74684637
799	2.742396864
800	2.74166086
801	2.740694171
802	2.739079221
803	2.73861143
804	2.737085002
805	2.73659334
806	2.734513216
807	2.733910034
808	2.730856953
809	2.729133183
810	2.724931374
811	2.723960142
812	2.723023099
813	2.720527238
814	2.717977621
815	2.715286251
816	2.714439833
817	2.712939703
818	2.711426552
819	2.708857001
820	2.708040814
821	2.706249876
822	2.701694929
823	2.699545665
824	2.699104214
825	2.698550228
826	2.695367605
827	2.694494253
828	2.69396781
829	2.689831059
830	2.687491292
831	2.685681572
832	2.684413956
833	2.683045798
834	2.681507754
835	2.680618764
836	2.678952808
837	2.678017982
838	2.676466599
839	2.67590907
840	2.673759182
841	2.672484842
842	2.671642259
843	2.669720342
844	2.668879021
845	2.668055305
846	2.665583916
847	2.662869726
848	2.6594999
849	2.656206399
850	2.655739437
851	2.653364461
852	2.651739163
853	2.650882481
854	2.650083953
855	2.648685784
856	2.644784502
857	2.643048715
858	2.641343239
859	2.64057036
860	2.638850608
861	2.638521884
862	2.636637135
863	2.635524037
864	2.635269756
865	2.632802818
866	2.630198428
867	2.629750828
868	2.628148831
869	2.625046285
870	2.622866706
871	2.620659958
872	2.619361499
873	2.618461949
874	2.616918189
875	2.614937043
876	2.610224248
877	2.607850189
878	2.607443536
879	2.606288975
880	2.605856073
881	2.604585299
882	2.603851338
883	2.602669949
884	2.602413969
885	2.600319485
886	2.598765713
887	2.596617763
888	2.593235785
889	2.592752245
890	2.59035992
891	2.58958461
892	2.587031873
893	2.585444634
894	2.582924209
895	2.579697433
896	2.578349522
897	2.575835383
898	2.573482402
899	2.572873421
900	2.572639435
901	2.570279955
902	2.567202953
903	2.56447399
904	2.562046784
905	2.560715034
906	2.558762134
907	2.556758994
908	2.554870561
909	2.552548377
910	2.551209198
911	2.550163848
912	2.549421944
913	2.548339312
914	2.54583772
915	2.545181076
916	2.543468386
917	2.542992841
918	2.541049067
919	2.537717851
920	2.534567653
921	2.532357311
922	2.530002524
923	2.529311085
924	2.528080172
925	2.524883864
926	2.523317613
927	2.522983982
928	2.517347006
929	2.517145058
930	2.516594253
931	2.513881717
932	2.512135762
933	2.510016699
934	2.504855198
935	2.503331957
936	2.500979624
937	2.499548687
938	2.498281102
939	2.497912579
940	2.494939305
941	2.493124095
942	2.491654041
943	2.489717733
944	2.488178719
945	2.487995077
946	2.487281017
947	2.484080161
948	2.483020354
949	2.482784782
950	2.47762801
951	2.476201681
952	2.474568277
953	2.472753944
954	2.470982879
955	2.469534206
956	2.46905982
957	2.467892671
958	2.467195795
959	2.464180866
960	2.461882798
961	2.460878076
962	2.460424165
963	2.459154352
964	2.458339555
965	2.455714148
966	2.453305309
967	2.451300144
968	2.450488313
969	2.448812048
970	2.447372207
971	2.445772619
972	2.444129214
973	2.441753404
974	2.441464591
975	2.441021925
976	2.440209315
977	2.435810642
978	2.435145634
979	2.433323174
980	2.432053778
981	2.427690852
982	2.425894815
983	2.425140131
984	2.423506793
985	2.422152442
986	2.419853909
987	2.419214015
988	2.417165561
989	2.416365593
990	2.415198542
991	2.412056631
992	2.409989681
993	2.406546115
994	2.406197915
995	2.404157682
996	2.402902049
997	2.401636562
998	2.399683272
999	2.397092508
